법정동시군구코드,법정동읍면동코드,법정동지번코드,법정동본번코드,법정동부번코드,도로명,도로명시군구코드,도로명코드,도로명일련번호코드,도로명지상지하코드,도로명건물본번호코드,도로명건물부번호코드,법정동,단지명,지번,전용면적,계약년도,계약월,계약일,거래금액,층,건축년도,단지일련번호,해제여부,해제사유발생일,거래유형,중개사소재지,등기일자,아파트동명,매도자,매수자,토지임대부아파트여부
41135,10900,1,0722,0000,동판교로,41135,3178016,01,0,00225,00000,삼평동,봇들마을3단지(주공),722,59.84,2025,6,21,145000,3,2009,41135-452,None,None,중개거래,경기 성남시 분당구,25.09.05,305,개인,개인,N
41135,11400,1,0077,0000,미금로,41135,3180016,02,0,00184,00000,구미동,까치마을(1단지)(대우롯데선경),77,84.79,2025,6,7,145000,6,1995,41135-232,None,None,중개거래,경기 성남시 분당구,25.09.15,113,개인,개인,N
41135,10500,1,0091,0000,중앙공원로,41135,3180049,01,0,00017,00000,서현동,시범한양,91,35.1,2025,6,27,79000,1,1991,41135-103,None,None,중개거래,경기 성남시 분당구,25.07.30,333,개인,개인,N
41135,10500,1,0292,0000,불정로,41135,3180030,04,0,00397,00000,서현동,효자촌(임광),292,84.99,2025,6,4,134000,14,1992,41135-110,None,None,중개거래,경기 성남시 분당구,25.09.24,301,개인,개인,N
41135,10500,1,0091,0000,중앙공원로,41135,3180049,01,0,00017,00000,서현동,시범한양,91,35.1,2025,6,27,85000,4,1991,41135-103,None,None,중개거래,경기 성남시 분당구,25.07.28,328,개인,개인,N
41135,10700,1,0510,0000,양현로,41135,3180042,03,0,00272,00000,야탑동,탑마을(경향),510,131.4,2025,6,22,154000,4,1993,41135-141,None,None,중개거래,경기 성남시 분당구,25.10.16,310,개인,개인,N
41135,11400,1,0202,0000,구미로,41135,3180001,01,0,00050,00000,구미동,무지개(2단지)(엘지),202,49.83,2025,6,19,74000,7,1995,41135-185,None,None,중개거래,경기 성남시 분당구,25.09.30,211,개인,개인,N
41135,10200,1,0024,0000,내정로165번길,41135,4340034,01,0,00035,00000,수내동,양지마을(5단지)(한양501-514),24,28.16,2025,6,16,63800,2,1992,41135-73,None,None,중개거래,경기 성남시 분당구,25.08.25,514,개인,개인,N
41135,10300,1,0121,0000,내정로,41135,3180003,02,0,00055,00000,정자동,상록마을(우성)1,121,129.72,2025,6,27,175000,1,1994,41135-60,None,None,직거래,None,25.09.16,302,개인,개인,N
41135,10600,1,0143,0000,이매로,41135,3180047,01,0,00016,00000,이매동,아름마을(효성),143,130.35,2025,6,25,201000,20,1994,41135-88,None,None,중개거래,경기 성남시 분당구,25.09.26,701,개인,개인,N
41135,10700,1,0334,0000,장미로,41135,3180048,01,0,00101,00000,야탑동,장미마을(현대),334,74.61,2025,6,2,96000,6,1993,41135-139,None,None,중개거래,경기 성남시 분당구,25.09.12,823,개인,개인,N
41135,10300,1,0102,0000,백현로,41135,3180022,02,0,00206,00000,정자동,한솔마을(4단지)(주공),102,42.75,2025,6,27,46000,22,1994,41135-67,None,None,직거래,None,25.08.05,414,개인,개인,N
41135,10300,1,0006,0000,정자일로,41135,3180021,01,0,00248,00000,정자동,파크뷰,6,139.68,2025,6,27,289000,7,2004,41135-250,None,None,중개거래,경기 성남시 분당구,25.10.20,601,개인,개인,N
41135,10700,1,0525,0000,판교로,41135,3180051,02,0,00519,00000,야탑동,탑마을(경남)1,525,69.87,2025,6,25,90000,6,1994,41135-140,None,None,직거래,None,25.08.26,703,개인,개인,N
41135,10500,1,0091,0000,중앙공원로,41135,3180049,01,0,00017,00000,서현동,시범한양,91,59.37,2025,6,6,129000,4,1991,41135-103,None,None,중개거래,경기 성남시 분당구,25.08.20,301,개인,개인,N
