rnum,platPlc,sigunguCd,bjdongCd,platGbCd,bun,ji,mgmPmsrgstPk,bldNm,splotNm,block,lot,jimokCdNm,jiyukCdNm,jiguCdNm,guyukCd,guyukCdNm,jimokCd,jiyukCd,jiguCd,archGbCd,archGbCdNm,platArea,archArea,bcRat,totArea,vlRatEstmTotArea,vlRat,mainBldCnt,atchBldDongCnt,mainPurpsCd,mainPurpsCdNm,hhldCnt,hoCnt,fmlyCnt,totPkngCnt,stcnsSchedDay,stcnsDelayDay,realStcnsDay,archPmsDay,useAprDay,crtnDay
174,경기도 성남시 분당구 백현동 489-4번지,41135,11000,0,0489,0004,1089100007244, , , , ,대, , , , ,08, , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20090121, ,20220909
175,경기도 성남시 분당구 백현동 489-4번지,41135,11000,0,0489,0004,108911761,., , , ,전,보전녹지지역, , , ,01,1310, ,0100,신축,1696.0,338.4,19.95,338.4,338.4,19.95,2,0,03000,제1종근린생활시설,0,0,0,6,200008, ,19980731,19980731,20030625,20220909
176,경기도 성남시 분당구 백현동 489-4번지,41135,11000,0,0489,0004,1089100007105,., , , ,대,보전녹지지역, , , ,08,1310, ,0100,신축,977.0,192.76,19.73,385.52,385.52,39.46,1,0,03000,제1종근린생활시설,0,0,0,0,20090123, ,20090128,20090109,20090520,20220909
177,경기도 성남시 분당구 백현동 489-9번지,41135,11000,0,0489,0009,1089100007225,., , , ,대,보전녹지지역, , , ,08,1310, ,0100,신축,789.0,149.28,18.92,298.56,298.56,37.84,1,0,03000,제1종근린생활시설,0,0,0,0,20090123, ,20090123,20090119,20090521,20220909
178,경기도 성남시 분당구 백현동 489-11번지,41135,11000,0,0489,0011,108914632,., , , ,답,보전녹지지역, , , ,02,1310, ,0100,신축,869.0,166.82,19.2,327.6,327.6,37.7,1,0,03000,제1종근린생활시설,0,0,0,2,20041020, ,20041020,20040916,20050617,20220909
179,경기도 성남시 분당구 백현동 490-4번지,41135,11000,0,0490,0004,1089100016748,백현동 490-4 제2종근린생활시설 (강석순), , , ,답,보전녹지지역, , , ,02,UQA410, ,0700,용도변경,739.0,146.12,19.7727,485.83,311.23,42.115,1,0,04000,제2종근린생활시설,0,0,0,0, , , ,20101110, ,20220909
180,경기도 성남시 분당구 백현동 490-9번지,41135,11000,0,0490,0009,1089100049413, , , , ,대,보전녹지지역, , , ,08,UQA410, ,0200,증축,1100.0,202.11,18.37,527.15,527.15,47.92,1,0,03000,제1종근린생활시설,0,0,1,0,20170811, ,20170811,20170721,20170829,20220909
181,경기도 성남시 분당구 백현동 490-9번지,41135,11000,0,0490,0009,1089100069574, , , , ,대,보전녹지지역, , , ,08,UQA410, ,0700,용도변경,1100.0,202.11,18.3736,527.15,527.15,47.9227,1,0,03000,제1종근린생활시설,0,0,0,0, , , ,20210512, ,20220909
182,경기도 성남시 분당구 백현동 490-9번지,41135,11000,0,0490,0009,108912149,., , , ,답,보전녹지지역, , , ,02,1310, ,0100,신축,958.0,178.2,18.6,496.04,496.04,51.78,1,0,03000,제1종근린생활시설,0,0,1,0,20021203,20020723,20021203,20000724,20030317,20220909
183,경기도 성남시 분당구 백현동 492-25번지,41135,11000,0,0492,0025,1089100059245, , , , ,잡종지,보전녹지지역,비행안전제2구역(전술),UML200,하수처리구역,28,UQA410,UNE412, , ,21490.0,0.0,0.0,0.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20190710, ,20220909
