rnum,platPlc,sigunguCd,bjdongCd,platGbCd,bun,ji,mgmBldrgstPk,mgmUpBldrgstPk,bldgId,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,newPlatPlc,bldNm,splotNm,block,lot,bylotCnt,naRoadCd,naBjdongCd,naUgrndCd,naMainBun,naSubBun,jiyukCd,jiguCd,guyukCd,jiyukCdNm,jiguCdNm,guyukCdNm,crtnDay
77,경기도 성남시 분당구 백현동 400번지,41135,11000,0,0400,0000,1000000000000002220295,0,2120241914666981,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 5 (백현동), , , , ,1,411354340050,11001,0,5,0,UQA001,UNE412,ZQ0001,도시지역,비행안전제2구역(전술),중점경관관리구역,20241127
78,경기도 성남시 분당구 백현동 402번지,41135,11000,0,0402,0000,10891126286,0,2120041910007177,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 8 (백현동), , , , ,0,411354340050,11001,0,8,0,1330,011, ,자연녹지지역,자연취락지구, ,20220909
79,경기도 성남시 분당구 백현동 403-2번지,41135,11000,0,0403,0002,10891100182656,0,2120081910000624,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 6 (백현동),., , , ,0,411354340050,11001,0,6,0,1330,011, ,자연녹지지역,자연취락지구, ,20220909
80,경기도 성남시 분당구 백현동 403-3번지,41135,11000,0,0403,0003,10891125823,0,2120051910000066,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로395번길 14 (백현동), , , , ,0,411354340051,11001,0,14,0,1330,011, ,자연녹지지역,자연취락지구, ,20220909
81,경기도 성남시 분당구 백현동 403-4번지,41135,11000,0,0403,0004,10891100241011,10891100241004,2220131910000863,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 14-4 (백현동), , , , ,0,411354340050,11001,0,14,4, , , , , , ,20220909
82,경기도 성남시 분당구 백현동 403-4번지,41135,11000,0,0403,0004,10891100241012,10891100241004,2220131910000864,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 14-4 (백현동), , , , ,0,411354340050,11001,0,14,4, , , , , , ,20220909
83,경기도 성남시 분당구 백현동 403-4번지,41135,11000,0,0403,0004,10891100241004,0,2120131910000173,2,집합,3,표제부,경기도 성남시 분당구 대왕판교로385번길 14-4 (백현동), , , , ,0,411354340050,11001,0,14,4,UQA430,UQM110, ,자연녹지지역,자연취락지구, ,20220909
84,경기도 성남시 분당구 백현동 403-4번지,41135,11000,0,0403,0004,10891100241007,10891100241004,2220131910000859,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 14-4 (백현동), , , , ,0,411354340050,11001,0,14,4, , , , , , ,20220909
85,경기도 성남시 분당구 백현동 403-4번지,41135,11000,0,0403,0004,10891100241013,10891100241004,2220131910000865,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 14-4 (백현동), , , , ,0,411354340050,11001,0,14,4, , , , , , ,20220909
86,경기도 성남시 분당구 백현동 403-4번지,41135,11000,0,0403,0004,10891100241005,10891100241004,2220131910000857,2,집합,4,전유부,경기도 성남시 분당구 대왕판교로385번길 14-4 (백현동), , , , ,0,411354340050,11001,0,14,4, , , , , , ,20220909
